x coordinate,y coordinate,category
23411.9851,29287.8108,1
23411.9851,29097.7033,1
23009.0545,29097.7033,1
23411.9851,28428.5103,1
23411.9851,29097.7033,1
23411.9851,29287.8108,1
24505.8302,28863.4781,1
24505.8302,28863.4781,1
23411.9851,28863.4781,1
23411.9851,29515.7364,1
23411.9851,29078.7329,1
23411.9851,28863.4781,1
27985.2981,29563.5784,1
29690.2651,29217.7937,2
30788.4656,30868.313,2
25238.7343,29802.9122,2
23363.0779,32010.1398,2
20507.2228,31423.7057,2
20507.2228,31423.7057,2
29236.1957,28484.6715,2
13354.5931,32691.9762,2
29280.3611,28404.4172,2
35083.7471,34872.7923,2
28098.7245,30016.2109,2
28098.7245,30016.2109,2
28098.7245,30016.2109,2
9470.88262,33184.501,2
30144.9852,29410.585,2
30181.7927,29495.4563,2
29612.6593,29787.0035,2
29948.817,28964.0496,2
29865.8344,29366.8749,3
29438.7515,28617.918,3
28026.1864,37848.178,3
26774.2141,29141.5374,3
8287.38811,31277.8542,3
35199.505,34368.1567,3
43382.4223,40438.1101,3
29406.343,28703.2721,3
24505.8302,28863.4781,3
27934.5665,32244.7882,3
31064.3133,32797.3057,3
29280.3611,28404.4172,3
28843.959,28428.5103,3
23316.2352,32062.0737,3
29865.8344,29366.8749,3
29858.024,29121.3082,4
19124.2994,34411.2725,4
28844.5603,36773.7633,4
23316.2352,32062.0737,4
23316.2352,32062.0737,4
6327.13608,35104.3894,4
29767.1157,29221.5986,4
16641.1616,31677.4459,4
30277.9231,29099.4463,4
29865.8344,29366.8749,4
29264.7653,28869.6445,4
29815.5454,29524.1934,5
29438.7515,28617.918,5
29264.4257,29050.761,5
29505.4443,28671.8285,5
29505.4443,28671.8285,5
29505.4443,28671.8285,5
29868.4252,36135.848,5
29865.8344,29366.8749,5
28833.0475,29941.2724,5
30938.733,30780.9935,5
35272.9911,32964.355,5
29866.4958,29000.548,5
29815.5454,29524.1934,5
35793.5457,31855.2947,5
29406.343,28703.2721,5
29794.428,29270.0909,5
29438.7515,28617.918,5
18972.9906,31260.3237,5
30897.179,31244.7589,5
29865.8344,29366.8749,5
13251.0977,32822.8588,5
17790.0512,34611.5617,5
18846.8007,32538.8881,5
30090.6851,29756.7815,6
9358.53761,32298.1274,6
30745.3667,30765.0419,6
18735.6598,31549.5835,6
30854.5808,30885.7489,6
30076.5433,29515.7364,6
34595.3032,33453.4435,6
29636.1802,29249.8921,6
17483.1992,35132.0127,6
34592.8116,34342.7519,6
31618.3542,36366.5772,6
30324.7893,29183.0251,6
29406.343,28703.2721,6
29866.4958,29000.548,6
29958.7916,29312.1383,6
29925.4033,29636.2872,6
35200.5458,34503.8474,6
26563.5643,29426.0824,6
31175.4865,31698.6004,6
26544.9325,27398.5603,6
26544.9325,27398.5603,6
32424.8795,34498.7938,6
29505.4443,28671.8285,6
13197.6169,33936.0824,7
29865.8344,29366.8749,7
28843.959,28428.5103,7
11387.527,32038.0988,7
28843.959,28428.5103,7
30354.4954,29067.1822,7
26894.5091,27633.3362,7
30897.179,31244.7589,7
30897.179,31244.7589,7
17456.0639,32298.3455,7
26371.5992,27446.002,7
26371.5992,27446.002,7
15109.8959,32306.1893,7
19614.4854,35532.6513,7
30156.1427,29679.8981,7
30076.5433,29515.7364,7
30076.5433,29515.7364,7
9424.22361,33458.3725,7
34615.5252,34273.9459,7
26324.2373,27487.5196,7
29595.343,29696.789,7
29595.343,29696.789,7
29595.343,29696.789,7
30069.1951,29287.8108,7
24187.8266,28589.493,7
24187.8266,28589.493,7
7268.81464,34426.7688,7
29636.1802,29249.8921,7
29636.1802,29249.8921,7
29370.12,28643.9696,7
29406.343,28703.2721,7
42530.892,35224.3507,7
30137.2885,29812.9328,7
34922.8524,35104.6761,7
29406.343,28703.2721,7
29895.6952,29488.3016,7
22273.5299,29876.254,7
24187.8266,28589.493,7
24187.8266,28589.493,8
29206.5916,28492.583,8
18673.8987,34268.3519,8
30740.9193,33589.8768,8
30090.6851,29756.7815,8
29496.4925,29253.9288,8
29496.4925,29253.9288,8
19247.418,35537.0805,8
29865.8344,29366.8749,8
29946.01,29512.7808,8
26156.8233,29538.1242,8
29935.4016,29684.3318,8
4886.34836,32252.538,8
28068.1231,37810.2032,8
26465.7158,29373.7526,8
25218.7653,29681.6807,8
29751.2008,29127.5383,8
23237.7629,30159.8763,8
23237.7629,30159.8763,8
29438.7515,28617.918,9
31003.1203,30563.4408,9
32589.81,32654.0711,9
17415.2624,34783.4582,9
11497.3141,34212.6203,9
34764.8655,35021.3488,9
29987.9521,30398.6047,9
47429.5607,39452.955,9
45154.7194,41461.4615,9
29690.2651,29217.7937,9
25218.7653,29681.6807,9
29995.1355,29045.0279,9
30090.6851,29756.7815,9
31003.1203,30563.4408,9
27823.2502,32033.1465,9
29505.4443,28671.8285,9
30080.0706,29627.4729,9
29406.343,28703.2721,9
29438.7515,28617.918,9
27579.8266,32146.9747,9
29987.9521,28617.918,10
31003.1203,30563.4408,10
32589.81,32654.0711,10
17415.2624,34783.4582,10
11497.3141,34212.6203,10
34764.8655,35021.3488,10
29987.9521,30398.6047,10
47429.5607,39452.955,10
47429.5607,41461.4615,10
29690.2651,29217.7937,10
25218.7653,29681.6807,10
29995.1355,29045.0279,10
30090.6851,29045.0279,10
31003.1203,30563.4408,10
27823.2502,32033.1465,10
29505.4443,28671.8285,10
30080.0706,29627.4729,10
29438.7515,28703.2721,10
29438.7515,28617.918,10
42530.892,35224.3507,10